accuracy,n_estimators,max_depth,max_feature
0.6514093529788598,114.0,13.0,25.0
0.6505164958360026,143.0,9.0,26.0
0.6487227738629084,173.0,15.0,30.0
0.6496196348494555,237.0,10.0,17.0
0.658544202434337,192.0,26.0,1.0
0.6317464766175528,297.0,7.0,8.0
0.6433576233183856,105.0,11.0,1.0
0.6523062139654068,37.0,10.0,7.0
0.6585602178090968,101.0,19.0,18.0
0.6174527546444587,84.0,6.0,7.0
0.6505084881486226,177.0,21.0,24.0
0.6022581678411274,28.0,5.0,8.0
0.5513292761050609,75.0,2.0,15.0
0.6469490711082638,82.0,11.0,10.0
0.6478299167200513,212.0,15.0,30.0
0.6299927930813581,11.0,18.0,3.0
0.5978018898142217,130.0,5.0,8.0
0.6549927930813582,182.0,23.0,10.0
0.6380285073670724,31.0,27.0,6.0
0.6505044843049327,265.0,15.0,15.0
0.6487227738629084,270.0,17.0,19.0
0.6585522101217168,161.0,19.0,12.0
0.65140134529148,265.0,28.0,28.0
0.63888933376041,157.0,8.0,9.0
0.5978018898142217,77.0,5.0,10.0
0.5540118513773222,77.0,2.0,20.0
0.6487187700192184,295.0,22.0,12.0
0.6585602178090968,101.0,19.0,18.0
0.6585522101217168,161.0,19.0,12.0
0.658544202434337,192.0,26.0,1.0
0.6549927930813582,182.0,23.0,10.0
0.6523062139654068,37.0,10.0,7.0
0.6514093529788598,114.0,13.0,25.0
0.65140134529148,265.0,28.0,28.0
0.6505164958360026,143.0,9.0,26.0
0.6505084881486226,177.0,21.0,24.0
0.6585602178090968,101.0,19.0,18.0
0.6585522101217168,161.0,19.0,12.0
0.658544202434337,192.0,26.0,1.0
0.6585602178090968,101.0,19.0,18.0
NaN,1.0,2.0,1.0
NaN,1.0,2.0,1.0
NaN,1.0,2.0,1.0
0.6505204996796925,45.0,13.0,21.0
NaN,1.0,2.0,1.0
0.5504364189622037,162.0,2.0,21.0
0.6424927930813581,266.0,11.0,5.0
0.6576553491351698,159.0,28.0,29.0
0.646040198590647,210.0,17.0,24.0
NaN,1.0,2.0,1.0
0.6540799167200512,188.0,26.0,14.0
NaN,1.0,2.0,1.0
0.6576553491351698,159.0,28.0,29.0
0.6540799167200512,188.0,26.0,14.0
0.6505204996796925,45.0,13.0,21.0
0.646040198590647,210.0,17.0,24.0
0.6576553491351698,159.0,28.0,29.0
NaN,2.0,2.0,1.0
NaN,2.0,2.0,1.0
NaN,2.0,2.0,1.0
NaN,2.0,2.0,1.0
0.646953074951954,59.0,27.0,30.0
NaN,2.0,2.0,1.0
0.646953074951954,59.0,27.0,30.0
NaN,2.0,2.0,1.0
NaN,1.0,1.0,1.0
NaN,1.0,1.0,0.0
NaN,1.0,2.0,0.0
NaN,1.0,1.0,1.0
