accuracy,n_estimators,max_depth,max_feature
0.6487347853939782,77.0,14.0,4.0
0.5549087123638693,253.0,2.0,27.0
0.6585522101217169,150.0,16.0,19.0
0.6478259128763613,289.0,28.0,11.0
0.6272781870595773,241.0,7.0,11.0
0.6612387892376683,110.0,23.0,12.0
0.6469450672645739,280.0,19.0,8.0
0.6541119474695708,112.0,28.0,10.0
0.652294202434337,198.0,22.0,22.0
0.6433656310057655,98.0,9.0,25.0
0.6522982062780269,236.0,10.0,17.0
0.6549927930813582,212.0,11.0,1.0
0.6531870595771941,245.0,24.0,23.0
0.652294202434337,199.0,24.0,11.0
0.6442785073670725,34.0,18.0,27.0
0.637091607943626,140.0,8.0,24.0
0.6469370595771942,219.0,21.0,20.0
0.6290639013452914,294.0,7.0,29.0
0.5942264573991032,239.0,5.0,12.0
0.6540839205637412,81.0,29.0,30.0
0.6478259128763613,222.0,20.0,23.0
0.5299247277386291,255.0,1.0,2.0
0.6460482062780268,105.0,25.0,8.0
0.6254884689301731,156.0,7.0,6.0
0.6460442024343369,139.0,11.0,18.0
0.5549087123638693,198.0,2.0,18.0
0.6415839205637411,88.0,9.0,16.0
0.6612387892376683,110.0,23.0,12.0
0.6585522101217169,150.0,16.0,19.0
0.6549927930813582,212.0,11.0,1.0
0.6541119474695708,112.0,28.0,10.0
0.6540839205637412,81.0,29.0,30.0
0.6531870595771941,245.0,24.0,23.0
0.6522982062780269,236.0,10.0,17.0
0.652294202434337,198.0,22.0,22.0
0.652294202434337,199.0,24.0,11.0
0.6612387892376683,110.0,23.0,12.0
0.6585522101217169,150.0,16.0,19.0
0.6549927930813582,212.0,11.0,1.0
0.6612387892376683,110.0,23.0,12.0
0.6549887892376681,276.0,15.0,5.0
0.6460602178090968,58.0,24.0,11.0
0.653187059577194,193.0,20.0,13.0
0.6567704996796925,108.0,24.0,13.0
0.5540038436899424,212.0,2.0,10.0
0.6469330557335041,132.0,13.0,30.0
0.6469330557335041,278.0,28.0,12.0
0.6415719090326714,245.0,9.0,21.0
0.6514053491351698,104.0,13.0,27.0
0.646949071108264,161.0,20.0,6.0
0.6558736386931454,97.0,15.0,12.0
0.6433576233183855,160.0,18.0,9.0
0.6567704996796925,108.0,24.0,13.0
0.6558736386931454,97.0,15.0,12.0
0.6549887892376681,276.0,15.0,5.0
0.653187059577194,193.0,20.0,13.0
0.6567704996796925,108.0,24.0,13.0
0.6156750480461243,210.0,6.0,19.0
0.641595932094811,77.0,10.0,10.0
0.6496116271620755,281.0,17.0,11.0
0.6567664958360026,156.0,20.0,25.0
0.6424847853939781,140.0,26.0,6.0
0.6541119474695709,63.0,24.0,26.0
0.6567664958360026,156.0,20.0,25.0
0.6541119474695709,63.0,24.0,26.0
0.6469290518898141,282.0,16.0,16.0
0.6505245035233824,44.0,14.0,20.0
0.6496316463805253,57.0,29.0,10.0
0.6469370595771942,100.0,30.0,9.0
