accuracy,n_estimators,max_depth,max_feature
0.6567624919923125,154.0,17.0,13.0
0.6567624919923125,144.0,28.0,23.0
0.552222133247918,55.0,1.0,18.0
0.6487427930813581,49.0,24.0,13.0
0.6442745035233824,18.0,10.0,15.0
0.6487187700192184,286.0,22.0,18.0
0.5495435618193467,76.0,1.0,26.0
0.5942304612427931,221.0,5.0,29.0
0.6496436579115951,53.0,29.0,23.0
0.6585882447149263,102.0,10.0,4.0
0.6469610826393338,53.0,15.0,11.0
0.62638532991672,111.0,7.0,16.0
0.5817264573991032,232.0,4.0,13.0
0.6540999359385009,76.0,12.0,29.0
0.6567745035233825,297.0,22.0,4.0
0.6487307815502883,174.0,16.0,13.0
0.6505044843049327,105.0,21.0,1.0
0.6487427930813581,56.0,16.0,29.0
0.6058456117873158,144.0,5.0,5.0
0.6460522101217169,99.0,18.0,6.0
0.6514013452914797,264.0,29.0,29.0
0.6558776425368353,75.0,21.0,12.0
0.646941063420884,274.0,11.0,8.0
0.6487267777065984,106.0,29.0,4.0
0.6273062139654068,12.0,18.0,21.0
0.6415639013452914,214.0,9.0,23.0
0.658544202434337,182.0,26.0,1.0
0.6469330557335041,292.0,29.0,15.0
0.6013773222293401,108.0,5.0,23.0
0.6496156310057655,226.0,24.0,28.0
0.6540799167200513,184.0,26.0,15.0
0.6505164958360026,171.0,11.0,27.0
0.6335321909032672,155.0,7.0,22.0
0.6362067584881486,176.0,8.0,5.0
0.6460522101217169,71.0,8.0,11.0
0.5477578475336322,229.0,1.0,4.0
0.6487227738629084,196.0,18.0,26.0
0.6487307815502883,257.0,18.0,21.0
0.6558816463805253,109.0,28.0,20.0
0.6558816463805253,109.0,19.0,11.0
0.642500800768738,33.0,22.0,14.0
0.6469330557335041,106.0,9.0,21.0
0.6514013452914799,173.0,26.0,25.0
0.6558696348494555,150.0,28.0,18.0
0.6505285073670724,231.0,24.0,3.0
0.5978058936579116,98.0,5.0,23.0
0.652294202434337,124.0,29.0,20.0
0.639794202434337,38.0,9.0,20.0
0.6299567584881486,103.0,7.0,18.0
0.6487187700192184,180.0,11.0,28.0
