accuracy,C,kernel,degree
0.5879884689301729,9.700000000000001,linear,3
0.5746076233183857,5.2,poly,3
0.6219330557335041,1.7000000000000002,rbf,4
0.511174727738629,1.0,sigmoid,9
0.5254764573991032,0.8,sigmoid,7
0.4674007046764895,5.1000000000000005,poly,6
0.58888532991672,3.4,linear,5
0.5879884689301729,7.699999999999999,linear,3
0.6255084881486227,1.9000000000000001,rbf,4
0.4727658552210122,5.4,sigmoid,4
0.6308696348494555,3.2,rbf,2
0.49241672005124915,2.0,sigmoid,1
0.4897341447789879,2.1999999999999997,sigmoid,3
0.4593569827033952,7.300000000000001,sigmoid,9
0.4932975656630365,3.2,sigmoid,4
0.5870996156310058,5.0,linear,5
0.5236787315823189,1.1,poly,2
0.5897741832158871,1.6,linear,3
0.4888613068545804,4.8,poly,5
0.58888132607303,7.5,linear,8
0.458472133247918,7.6000000000000005,sigmoid,5
0.5459921524663678,8.4,poly,2
0.4682975656630365,5.7,sigmoid,10
0.6344250480461243,7.300000000000001,rbf,4
0.529031870595772,1.5,poly,2
0.46829356181934656,5.5,sigmoid,4
0.5049407431133888,7.9,poly,5
0.6344250480461243,7.300000000000001,rbf,4
0.6308696348494555,3.2,rbf,2
0.6255084881486227,1.9000000000000001,rbf,4
0.6219330557335041,1.7000000000000002,rbf,4
0.5897741832158871,1.6,linear,3
0.58888532991672,3.4,linear,5
0.58888132607303,7.5,linear,8
0.5879884689301729,9.700000000000001,linear,3
0.5879884689301729,7.699999999999999,linear,3
0.6344250480461243,7.300000000000001,rbf,4
0.6308696348494555,3.2,rbf,2
0.6255084881486227,1.9000000000000001,rbf,4
0.6344250480461243,7.300000000000001,rbf,4
0.511174727738629,1.0,sigmoid,4
0.4727658552210121,4.2,sigmoid,4
0.6317704996796925,2.6,rbf,3
0.58888132607303,9.1,linear,7
0.44328555413196663,5.1000000000000005,poly,9
0.48884128763613066,3.1,sigmoid,7
0.49330557335041636,2.4,sigmoid,9
0.581734465086483,8.2,poly,3
0.58888132607303,8.0,linear,4
0.4709681294042281,5.1000000000000005,sigmoid,8
0.4584681294042281,6.699999999999999,poly,7
0.6344330557335042,6.199999999999999,rbf,5
0.6344330557335042,6.199999999999999,rbf,5
0.6317704996796925,2.6,rbf,3
0.58888132607303,9.1,linear,7
0.58888132607303,8.0,linear,4
0.6344330557335042,6.199999999999999,rbf,5
0.6344250480461243,7.5,rbf,6
0.5879884689301729,9.4,linear,4
0.4477538436899423,9.5,poly,10
0.5112027546444586,9.1,poly,5
0.58888532991672,0.4,rbf,10
0.5879884689301729,9.5,linear,6
0.6344250480461243,7.5,rbf,6
0.58888532991672,0.4,rbf,10
0.587988468930173,6.0,poly,1
0.6362227738629084,5.5,rbf,6
0.5879924727738628,4.5,linear,5
0.4459641255605381,9.299999999999999,poly,9
