accuracy,C,kernel,degree
0.511174727738629,1.0,sigmoid,8
0.5879884689301729,7.300000000000001,linear,1
0.6362307815502882,4.2,rbf,9
0.5862067584881487,0.2,rbf,1
0.5799567584881486,7.1000000000000005,poly,3
0.6308496156310058,7.8,rbf,3
0.6219090326713645,8.9,rbf,2
0.6335522101217169,3.5,rbf,5
0.45133728379244076,8.7,sigmoid,6
0.6353179051889815,7.1000000000000005,rbf,10
0.5897741832158871,1.7000000000000002,linear,8
0.5960281870595772,0.8,rbf,8
0.6219130365150545,9.6,rbf,7
0.5218970211402947,0.9000000000000001,sigmoid,6
0.5879884689301729,7.300000000000001,linear,6
0.6308736386931455,2.7,rbf,5
0.46025784753363225,6.800000000000001,sigmoid,9
0.5897741832158871,1.4,linear,8
0.4825792761050608,0.30000000000000004,poly,3
0.5629684497117232,0.1,sigmoid,6
0.58888132607303,9.6,linear,6
0.5897741832158871,1.6,linear,2
0.6353379244074311,4.8,rbf,9
0.6228058936579115,9.1,rbf,3
0.5942424727738629,0.7000000000000001,rbf,6
0.5879884689301729,9.799999999999999,linear,8
0.4602538436899423,6.300000000000001,sigmoid,3
0.46650784753363234,5.6,sigmoid,3
0.6227978859705317,8.7,rbf,4
0.58888132607303,8.0,linear,4
0.5870956117873158,0.7000000000000001,linear,6
0.5879884689301729,7.6000000000000005,linear,10
0.5897741832158871,2.4,linear,4
0.6353179051889815,7.1000000000000005,rbf,10
0.4432815502882767,5.2,poly,10
0.6308736386931455,2.7,rbf,6
0.5870996156310058,5.0,linear,9
0.4575752722613709,7.199999999999999,sigmoid,3
0.5013693145419602,7.699999999999999,poly,5
0.6362307815502882,4.4,rbf,1
0.5879884689301729,7.6000000000000005,linear,7
0.445972133247918,1.5,poly,9
0.4531069827033953,1.2,poly,5
0.4414998398462524,4.2,poly,10
0.6371156310057656,5.7,rbf,10
0.4450752722613709,7.9,poly,9
0.45936098654708524,6.699999999999999,sigmoid,8
0.4566864189622037,8.7,poly,8
0.5879884689301729,9.0,linear,3
0.6353379244074311,4.0,rbf,10
